year,player_name,sg_total,sg_off_the_tee,sg_approach,sg_around_green,sg_putting,driving_distance,driving_accuracy,greens_in_regulation,scoring_average,money_earned,final_season_rank,sg_tee_to_green
2016,Jason Bohn,-0.22,-0.259,0.272,-0.265,0.032,276.3,67.56,66.33,71.126,1369705.0,97.0,-0.252
2016,Jason Day,2.118,0.186,0.426,0.375,1.13,304.2,50.46,67.23,69.313,8045112.0,6.0,0.987
2016,Jason Dufner,0.488,0.29,0.469,0.081,-0.353,293.2,62.83,70.15,70.212,2879884.0,19.0,0.8399999999999999
2016,Jason Gore,-0.558,0.044,-0.097,-0.581,-0.109,289.2,63.63,66.52,71.627,416654.0,,-0.634
2016,Jason Kokrak,0.525,0.594,0.424,-0.238,-0.288,307.4,58.41,68.66,70.57,1934250.0,33.0,0.78
2016,Jeff Overton,-0.492,-0.054,-0.157,0.134,-0.416,285.0,59.25,63.85,71.466,410246.0,,-0.07699999999999999
2016,Jerry Kelly,0.167,0.013,0.427,-0.059,-0.214,278.2,71.2,66.67,70.937,1328657.0,72.0,0.381
2016,Jhonattan Vegas,0.571,0.589,0.18,-0.112,0.072,304.4,56.57,69.71,70.903,2478980.0,29.0,0.6569999999999999
2016,Jim Furyk,0.53,-0.234,0.465,0.232,0.067,280.8,69.09,68.27,70.13,1538204.0,86.0,0.463
2016,Jim Herman,-0.207,0.364,-0.288,-0.122,-0.318,291.1,65.59,65.65,71.206,2091274.0,42.0,-0.045999999999999985
2016,Jimmy Walker,0.892,0.044,0.69,0.225,0.222,301.3,48.31,63.96,70.393,4148546.0,14.0,0.959
2016,John Huh,-0.051,0.127,0.11,0.05,-0.187,284.7,68.3,66.21,71.104,1007219.0,95.0,0.287
2016,John Merrick,,,,,,,,,,162969.0,,
2016,John Peterson,,,,,,,,,,13020.0,,
2016,John Rollins,,,,,,,,,,74084.0,,
2016,John Senden,0.451,0.318,0.199,-0.299,0.321,289.7,60.07,68.86,70.717,989841.0,88.0,0.21800000000000003
2016,Johnson Wagner,0.368,0.03,0.219,-0.154,0.273,289.4,61.13,69.38,70.781,1083787.0,78.0,0.095
2016,Jon Curran,0.053,-0.659,0.001,0.304,0.407,271.9,64.35,63.02,71.145,1902481.0,66.0,-0.35400000000000004
2016,Jon Rahm,,,,,,,,,,1004035.0,,
2016,Jonas Blixt,-0.086,-0.093,-0.303,0.012,0.527,290.3,57.79,60.96,71.19,1115322.0,107.0,-0.384
2016,Jonathan Byrd,,,,,,,,,,58655.0,,
2016,Jordan Spieth,1.569,0.402,0.145,0.264,0.758,295.4,58.14,63.52,69.52,5538470.0,9.0,0.811
2016,Justin Leonard,,,,,,,,,,288428.0,,
2016,Justin Rose,1.128,0.678,0.409,0.237,-0.197,303.9,57.9,67.92,70.148,2085365.0,51.0,1.3239999999999998
2016,Justin Thomas,0.32,0.029,0.494,-0.017,-0.185,301.3,53.94,65.63,70.571,4126366.0,12.0,0.506
2016,K.J. Choi,0.204,-0.317,0.263,0.159,0.349,275.3,66.18,65.37,71.093,1328448.0,91.0,0.10500000000000001
2016,Keegan Bradley,0.298,0.305,0.419,0.205,-0.631,300.0,64.57,69.58,70.741,899985.0,103.0,0.9289999999999999
2016,Kelly Kraft,0.058,-0.093,-0.1,-0.103,0.207,289.8,60.36,67.42,71.333,403437.0,,-0.296
2016,Ken Duke,-0.734,0.04,-0.202,-0.048,-0.524,280.2,64.18,59.26,71.88,773025.0,,-0.21000000000000002
2016,Kent Jones,,,,,,,,,,9792.0,,
2016,Kevin Chappell,0.77,0.317,0.634,0.126,-0.307,296.3,60.68,66.37,70.501,4501050.0,8.0,1.077
2016,Kevin Kisner,0.548,0.348,-0.142,-0.331,0.672,289.0,64.92,65.19,70.489,3424354.0,23.0,-0.12500000000000003
