year,player_name,sg_total,sg_off_the_tee,sg_approach,sg_around_green,sg_putting,driving_distance,driving_accuracy,greens_in_regulation,scoring_average,money_earned,final_season_rank,sg_tee_to_green
2023,Gary Woodland,0.358,0.533,0.741,-0.349,-0.568,313.8,58.23,67.94,70.542,2256535.0,94.0,0.925
2023,Geoff Ogilvy,,,,,,,,,,173140.0,206.0,
2023,George McNeill,,,,,,,,,,16834.0,237.0,
2023,Grayson Murray,,,,,,,,,,437066.0,164.0,
2023,Greg Chalmers,,,,,,,,,,88172.0,218.0,
2023,Greyson Sigg,0.385,0.064,0.207,0.096,0.018,295.8,61.43,69.26,70.788,1615856.0,106.0,0.367
2023,Hank Lebioda,-0.956,-0.359,-0.221,-0.367,-0.008,297.6,58.68,67.58,72.3,382836.0,199.0,-0.947
2023,Harris English,0.516,-0.288,0.138,0.178,0.488,297.3,62.07,64.6,70.414,5600689.0,38.0,0.028000000000000025
2023,Harrison Endycott,-0.355,-0.169,-0.184,0.111,-0.113,293.2,62.37,66.23,71.637,840303.0,129.0,-0.242
2023,Harry Hall,0.149,-0.404,-0.304,0.158,0.698,299.8,54.0,66.39,70.846,1564358.0,88.0,-0.5499999999999999
2023,Harry Higgs,-1.226,-0.487,-0.844,-0.113,0.218,301.6,53.87,64.68,71.982,718748.0,132.0,-1.444
2023,Hayden Buckley,0.023,0.611,-0.104,-0.535,0.051,304.4,65.09,68.65,70.887,2929779.0,60.0,-0.028000000000000025
2023,Henrik Norlander,-0.424,-0.182,-0.004,0.04,-0.279,292.3,62.1,69.11,71.484,1158809.0,141.0,-0.146
2023,Hideki Matsuyama,0.902,0.086,0.609,0.324,-0.119,297.2,59.52,66.86,70.181,3874772.0,50.0,1.019
2023,J.B. Holmes,,,,,,,,,,58884.0,232.0,
2023,J.J. Spaun,0.587,0.293,0.268,0.237,-0.212,298.8,63.69,70.53,70.424,3060779.0,62.0,0.7979999999999999
2023,J.T. Poston,0.647,-0.081,0.296,0.038,0.395,297.0,60.47,68.83,70.202,3699409.0,39.0,0.25299999999999995
2023,James Hahn,-0.328,0.315,-0.159,-0.28,-0.204,298.9,64.63,68.33,71.728,576584.0,165.0,-0.12400000000000003
2023,Jason Day,0.855,0.346,-0.02,0.192,0.336,304.2,61.67,66.74,70.018,6922758.0,28.0,0.518
2023,Jason Dufner,-0.586,-0.111,0.101,0.122,-0.697,299.1,58.02,68.62,71.87,525090.0,172.0,0.112
2023,Jerry Kelly,,,,,,,,,,58000.0,235.0,
2023,Jhonattan Vegas,,,,,,,,,,375361.0,187.0,
2023,Jim Herman,-1.413,-0.038,-0.579,-0.3,-0.497,290.0,65.92,67.46,72.506,372745.0,195.0,-0.917
2023,Jimmy Walker,-0.214,-0.216,-0.12,0.1,0.022,307.2,52.31,64.08,71.536,1111220.0,124.0,-0.23599999999999996
2023,Joel Dahmen,-0.186,0.184,0.114,0.119,-0.603,296.1,63.12,67.09,70.951,1996174.0,84.0,0.417
2023,John Huh,,,,,,,,,,121256.0,213.0,
2023,Jon Rahm,1.679,0.36,0.878,0.104,0.336,314.0,57.68,70.5,69.037,16522608.0,18.0,1.342
2023,Jonas Blixt,,,,,,,,,,241393.0,197.0,
2023,Jonathan Byrd,-0.74,-0.299,-0.515,0.527,-0.454,289.3,61.29,65.19,71.865,322026.0,183.0,-0.28700000000000003
2023,Jordan Spieth,0.71,0.2,0.173,0.25,0.086,303.6,56.83,64.04,70.15,7240044.0,27.0,0.623
2023,Joseph Bramlett,0.454,0.226,0.368,0.157,-0.297,312.4,51.86,68.33,70.58,1597911.0,89.0,0.751
2023,Justin Lower,-0.028,-0.243,0.073,-0.212,0.354,294.2,59.37,66.56,71.225,1426711.0,103.0,-0.382
2023,Justin Rose,1.193,-0.044,0.56,0.272,0.404,295.2,62.67,65.85,69.693,4635120.0,34.0,0.788
2023,Justin Suh,0.119,0.052,-0.068,-0.394,0.529,299.4,63.35,66.33,70.646,3075821.0,81.0,-0.41000000000000003
2023,Justin Thomas,0.836,0.198,0.362,0.436,-0.161,308.5,55.19,65.74,70.52,3566403.0,71.0,0.996
2023,K.H. Lee,0.345,0.035,0.063,0.257,-0.01,300.7,59.57,68.59,70.679,2883904.0,77.0,0.355
2023,Keegan Bradley,0.885,0.202,0.237,0.0,0.447,305.6,58.49,67.07,70.05,9010040.0,9.0,0.439
2023,Keith Mitchell,0.483,0.743,-0.288,-0.027,0.054,313.7,63.32,67.73,70.652,3062484.0,64.0,0.428
2023,Kelly Kraft,-0.427,-0.198,-0.245,-0.292,0.308,287.3,66.69,66.98,71.536,722098.0,191.0,-0.735
2023,Kevin Chappell,-0.157,-0.165,0.121,-0.073,-0.04,302.0,55.44,68.06,71.517,362455.0,179.0,-0.117
2023,Kevin Kisner,,,,,,,,,,335671.0,202.0,
2023,Kevin Roy,-0.269,-0.132,0.574,-0.13,-0.581,303.4,58.37,68.49,71.496,478670.0,174.0,0.31199999999999994
2023,Kevin Stadler,,,,,,,,,,21318.0,239.0,
